Molecula_N,id,isomeric_smiles,canonical_smiles,inchikey,BindingDB MonomerID,IC50_nM
38,50528593,[H]ON(C(=O)C([H])([H])S[C@]([H])(c1c([H])c(F)c([H])c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])SC([H])(c1c([H])c(F)c([H])c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],IEOBWBKWPIZSFL-SNVBAGLBSA-N,50528593,110.0
39,50181148,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],ABGCTQYLJZGMBM-LLVKDONJSA-N,50181148,119.0
40,50335485,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],ABGCTQYLJZGMBM-LLVKDONJSA-N,50335485,119.0
41,50441189,[H]ON(C(=O)C([H])([H])S[C@@]([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])SC([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],IWQBQVIYTMIQRL-JTQLQIEISA-N,50441189,120.0
42,50437793,[H]ON(C(=O)c1c([H])c([H])c([H])c(C([H])([H])n2nc([H])nc2[H])c1[H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c(C([H])([H])n2nc([H])nc2[H])c1[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],YQKYQGUPTJPWBR-SFHVURJKSA-N,50437793,140.0
43,50028363,[H]ON([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],AEDDLQQMYHWTLI-JTQLQIEISA-N,50028363,140.0
44,50181150,[H]ON(C([H])=O)C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],KBQCOUQEQCYLJS-LLVKDONJSA-N,50181150,156.0
45,50380000,[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],OXDGJHZVDJQJCC-UHFFFAOYSA-N,50380000,159.0
46,50185359,[H]ON(C(=O)C([H])([H])[H])C([H])([H])[C@@]1([H])C([H])([H])[C@]1([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C1([H])P(=O)(O[H])O[H],LUPJKMGSDFIKFE-RITPCOANSA-N,50185359,160.0
47,50181153,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],PKMNDDZSIHLLLI-UHFFFAOYSA-N,50181153,160.0
