Molecula_N,id,isomeric_smiles,canonical_smiles,inchikey,BindingDB MonomerID,IC50_nM,SMILES_CLEAN
94,50081649,[H]ON(C(=O)C([H])([H])[C@]([H])(C([H])([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[P@](=O)([O-])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])(C([H])([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])P(=O)([O-])O[H])C([H])([H])[H],YKRNADVNYIPUET-ZDUSSCGKSA-M,50081649,843.0,CN(O)C(=O)CC(CCCc1ccccc1)CP(=O)([O-])O
95,50422649,[H]ON(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],XVWSGEIMEATWFE-UHFFFAOYSA-N,50422649,1000.0,O=C(CCCOc1ccccc1)NCC(=O)N(O)CCCP(=O)(O)O
97,50445564,[H]ON(C(=O)C([H])([H])[H])C([H])([H])/C([H])=C(\[H])[P@](=O)([O-])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])=C([H])P(=O)([O-])O[H],LJCWFOKLHHHANO-DUXPYHPUSA-M,50445564,1070.0,CC(=O)N(O)CC=CP(=O)([O-])O
99,50437792,[H]ON(C(=O)c1c([H])c([H])c(C([H])([H])n2nc([H])nc2[H])c([H])c1[H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c(C([H])([H])n2nc([H])nc2[H])c([H])c1[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],MTKONNCMIPCZJN-SFHVURJKSA-N,50437792,1200.0,O=C(c1ccc(Cn2cncn2)cc1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O
100,50335486,[H]On1c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c1=O,[H]On1c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c1=O,ISVJDQZSLLHGNB-UHFFFAOYSA-N,50335486,1400.0,O=c1ccc(-c2ccccc2)cn1O
102,15236,[H]Oc1c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2O[H])c([H])c(O[H])c1O[H],[H]Oc1c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2O[H])c([H])c(O[H])c1O[H],IKMDFBPHZNJCSN-UHFFFAOYSA-N,15236,1500.0,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12
103,50028371,[H]ON([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H],KGPOFMWTMOJKJA-NSHDSACASA-N,50028371,1500.0,COc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1OC
104,50437806,[H]ON(C(=O)c1c([H])nc([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])nc([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],YEEGIHBEADGRCT-UHFFFAOYSA-N,50437806,1600.0,O=C(c1cccnc1)N(O)CCCP(=O)(O)O
105,50441202,[H]ON(C(=O)C([H])([H])O[C@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])OC([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],BNXJAJGNFMLKQG-JTQLQIEISA-N,50441202,1600.0,CN(O)C(=O)COC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O
107,50422662,[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GWBDABZSDWGHSK-UHFFFAOYSA-N,50422662,1698.0,CCCCCCCC(=O)N(O)CCCP(=O)(O)O
